chart_week,title,performer,wks_on_chart
7/1/2023,Kill Bill,SZA,28
7/1/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",29
7/1/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,14
6/24/2023,Last Night,Morgan Wallen,20
6/24/2023,Flowers,Miley Cyrus,22
6/24/2023,Fast Car,Luke Combs,12
6/24/2023,Calm Down,Rema & Selena Gomez,41
6/24/2023,All My Life,Lil Durk Featuring J. Cole,5
6/24/2023,Favorite Song,Toosii,17
6/24/2023,Kill Bill,SZA,27
6/24/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",28
6/24/2023,Karma,Taylor Swift Featuring Ice Spice,14
6/24/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,13
6/17/2023,Last Night,Morgan Wallen,19
6/17/2023,Flowers,Miley Cyrus,21
6/17/2023,Calm Down,Rema & Selena Gomez,40
6/17/2023,Fast Car,Luke Combs,11
6/17/2023,All My Life,Lil Durk Featuring J. Cole,4
6/17/2023,Kill Bill,SZA,26
6/17/2023,Favorite Song,Toosii,16
6/17/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,12
6/17/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",27
6/17/2023,Karma,Taylor Swift Featuring Ice Spice,13
6/10/2023,Last Night,Morgan Wallen,18
6/10/2023,Karma,Taylor Swift Featuring Ice Spice,12
6/10/2023,Flowers,Miley Cyrus,20
6/10/2023,All My Life,Lil Durk Featuring J. Cole,3
6/10/2023,Calm Down,Rema & Selena Gomez,39
6/10/2023,Kill Bill,SZA,25
6/10/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,11
6/10/2023,Fast Car,Luke Combs,10
6/10/2023,Favorite Song,Toosii,15
6/10/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",26
6/3/2023,Last Night,Morgan Wallen,17
6/3/2023,Flowers,Miley Cyrus,19
6/3/2023,Kill Bill,SZA,24
6/3/2023,Calm Down,Rema & Selena Gomez,38
6/3/2023,Favorite Song,Toosii,14
6/3/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,10
6/3/2023,All My Life,Lil Durk Featuring J. Cole,2
6/3/2023,Where She Goes,Bad Bunny,1
6/3/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",25
6/3/2023,Fast Car,Luke Combs,9
5/27/2023,Last Night,Morgan Wallen,16
5/27/2023,All My Life,Lil Durk Featuring J. Cole,1
5/27/2023,Flowers,Miley Cyrus,18
5/27/2023,Kill Bill,SZA,23
5/27/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,9
5/27/2023,Calm Down,Rema & Selena Gomez,37
5/27/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",24
5/27/2023,Favorite Song,Toosii,13
5/27/2023,Fast Car,Luke Combs,8
5/27/2023,Anti-Hero,Taylor Swift,30
5/20/2023,Last Night,Morgan Wallen,15
5/20/2023,Kill Bill,SZA,22
5/20/2023,Flowers,Miley Cyrus,17
5/20/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,8
5/20/2023,Calm Down,Rema & Selena Gomez,36
5/20/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",23
5/20/2023,Un x100to,Grupo Frontera X Bad Bunny,4
5/20/2023,Favorite Song,Toosii,12
5/20/2023,Die For You,The Weeknd & Ariana Grande,41
5/20/2023,Anti-Hero,Taylor Swift,29
5/13/2023,Last Night,Morgan Wallen,14
5/13/2023,Kill Bill,SZA,21
5/13/2023,Flowers,Miley Cyrus,16
5/13/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,7
5/13/2023,Calm Down,Rema & Selena Gomez,35
5/13/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",22
5/13/2023,Un x100to,Grupo Frontera X Bad Bunny,3
5/13/2023,Die For You,The Weeknd & Ariana Grande,40
5/13/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,13
5/13/2023,Anti-Hero,Taylor Swift,28
5/6/2023,Last Night,Morgan Wallen,13
5/6/2023,Kill Bill,SZA,20
5/6/2023,Flowers,Miley Cyrus,15
5/6/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,6
5/6/2023,Un x100to,Grupo Frontera X Bad Bunny,2
5/6/2023,Calm Down,Rema & Selena Gomez,34
5/6/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",21
5/6/2023,Die For You,The Weeknd & Ariana Grande,39
5/6/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,12
5/6/2023,Anti-Hero,Taylor Swift,27
4/29/2023,Kill Bill,SZA,19
4/29/2023,Last Night,Morgan Wallen,12
4/29/2023,Flowers,Miley Cyrus,14
4/29/2023,Princess Diana,Ice Spice & Nicki Minaj,1
4/29/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,5
4/29/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",20
4/29/2023,Calm Down,Rema & Selena Gomez,33
4/29/2023,Die For You,The Weeknd & Ariana Grande,38
4/29/2023,Search & Rescue,Drake,2
4/29/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,11
4/22/2023,Last Night,Morgan Wallen,11
4/22/2023,Search & Rescue,Drake,1
4/22/2023,Flowers,Miley Cyrus,13
4/22/2023,Kill Bill,SZA,18
4/22/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",19
4/22/2023,Calm Down,Rema & Selena Gomez,32
4/22/2023,Die For You,The Weeknd & Ariana Grande,37
4/22/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,10
4/22/2023,Anti-Hero,Taylor Swift,25
4/22/2023,Ella Baila Sola,Eslabon Armado X Peso Pluma,4
4/15/2023,Last Night,Morgan Wallen,10
4/15/2023,Kill Bill,SZA,17
4/15/2023,Flowers,Miley Cyrus,12
4/15/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",18
4/15/2023,Die For You,The Weeknd & Ariana Grande,36
4/15/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,9
4/15/2023,Calm Down,Rema & Selena Gomez,31
4/15/2023,Anti-Hero,Taylor Swift,24
4/15/2023,Players,Coi Leray,14
4/15/2023,Rock And A Hard Place,Bailey Zimmerman,43
4/8/2023,Like Crazy,Jimin,1
4/8/2023,Flowers,Miley Cyrus,11
4/8/2023,Last Night,Morgan Wallen,9
4/8/2023,Kill Bill,SZA,16
4/8/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",17
4/8/2023,Die For You,The Weeknd & Ariana Grande,35
4/8/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,8
4/8/2023,Calm Down,Rema & Selena Gomez,30
4/8/2023,Anti-Hero,Taylor Swift,23
4/8/2023,Players,Coi Leray,13
4/1/2023,Flowers,Miley Cyrus,10
4/1/2023,Last Night,Morgan Wallen,8
4/1/2023,Kill Bill,SZA,15
4/1/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",16
4/1/2023,Die For You,The Weeknd & Ariana Grande,34
4/1/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,7
4/1/2023,Anti-Hero,Taylor Swift,22
4/1/2023,Calm Down,Rema & Selena Gomez,29
4/1/2023,Players,Coi Leray,12
4/1/2023,Rock And A Hard Place,Bailey Zimmerman,41
3/25/2023,Flowers,Miley Cyrus,9
3/25/2023,Last Night,Morgan Wallen,7
3/25/2023,Kill Bill,SZA,14
3/25/2023,Die For You,The Weeknd & Ariana Grande,33
3/25/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",15
3/25/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,6
3/25/2023,Anti-Hero,Taylor Swift,21
3/25/2023,Calm Down,Rema & Selena Gomez,28
3/25/2023,Thought You Should Know,Morgan Wallen,31
3/25/2023,You Proof,Morgan Wallen,44
3/18/2023,Last Night,Morgan Wallen,6
3/18/2023,Flowers,Miley Cyrus,8
3/18/2023,Kill Bill,SZA,13
3/18/2023,Die For You,The Weeknd & Ariana Grande,32
3/18/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,5
3/18/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",14
3/18/2023,Thought You Should Know,Morgan Wallen,30
3/18/2023,You Proof,Morgan Wallen,43
3/18/2023,Thinkin' Bout Me,Morgan Wallen,1
3/18/2023,One Thing At A Time,Morgan Wallen,14
3/11/2023,Die For You,The Weeknd & Ariana Grande,31
3/11/2023,Flowers,Miley Cyrus,7
3/11/2023,Kill Bill,SZA,12
3/11/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,4
3/11/2023,Last Night,Morgan Wallen,5
3/11/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",13
3/11/2023,TQG,Karol G x Shakira,1
3/11/2023,Unholy,Sam Smith & Kim Petras,23
3/11/2023,Anti-Hero,Taylor Swift,19
3/11/2023,Cuff It,Beyonce,29
3/4/2023,Flowers,Miley Cyrus,6
3/4/2023,Kill Bill,SZA,11
3/4/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,3
3/4/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",12
3/4/2023,Last Night,Morgan Wallen,4
3/4/2023,Die For You,The Weeknd,30
3/4/2023,Unholy,Sam Smith & Kim Petras,22
3/4/2023,Anti-Hero,Taylor Swift,18
3/4/2023,Cuff It,Beyonce,28
3/4/2023,I'm Good (Blue),David Guetta & Bebe Rexha,26
2/25/2023,Flowers,Miley Cyrus,5
2/25/2023,Kill Bill,SZA,10
2/25/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",11
2/25/2023,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,2
2/25/2023,Last Night,Morgan Wallen,3
2/25/2023,Unholy,Sam Smith & Kim Petras,21
2/25/2023,Die For You,The Weeknd,29
2/25/2023,Anti-Hero,Taylor Swift,17
2/25/2023,Cuff It,Beyonce,27
2/25/2023,I'm Good (Blue),David Guetta & Bebe Rexha,25
2/18/2023,Flowers,Miley Cyrus,4
2/18/2023,Kill Bill,SZA,9
2/18/2023,Last Night,Morgan Wallen,2
2/18/2023,Unholy,Sam Smith & Kim Petras,20
2/18/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",10
2/18/2023,Cuff It,Beyonce,26
2/18/2023,Anti-Hero,Taylor Swift,16
2/18/2023,Die For You,The Weeknd,28
2/18/2023,I'm Good (Blue),David Guetta & Bebe Rexha,24
2/18/2023,As It Was,Harry Styles,45
2/11/2023,Flowers,Miley Cyrus,3
2/11/2023,Kill Bill,SZA,8
2/11/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",9
2/11/2023,Anti-Hero,Taylor Swift,15
2/11/2023,Unholy,Sam Smith & Kim Petras,19
2/11/2023,Die For You,The Weeknd,27
2/11/2023,I'm Good (Blue),David Guetta & Bebe Rexha,23
2/11/2023,Rich Flex,Drake & 21 Savage,13
2/11/2023,As It Was,Harry Styles,44
2/11/2023,Just Wanna Rock,Lil Uzi Vert,16
2/4/2023,Flowers,Miley Cyrus,2
2/4/2023,Kill Bill,SZA,7
2/4/2023,Anti-Hero,Taylor Swift,14
2/4/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",8
2/4/2023,Unholy,Sam Smith & Kim Petras,18
2/4/2023,I'm Good (Blue),David Guetta & Bebe Rexha,22
2/4/2023,Die For You,The Weeknd,26
2/4/2023,Rich Flex,Drake & 21 Savage,12
2/4/2023,As It Was,Harry Styles,43
2/4/2023,Golden Hour,JVKE,22
1/28/2023,Flowers,Miley Cyrus,1
1/28/2023,Kill Bill,SZA,6
1/28/2023,Anti-Hero,Taylor Swift,13
1/28/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",7
1/28/2023,Unholy,Sam Smith & Kim Petras,17
1/28/2023,I'm Good (Blue),David Guetta & Bebe Rexha,21
1/28/2023,Die For You,The Weeknd,25
1/28/2023,Rich Flex,Drake & 21 Savage,11
1/28/2023,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,1
1/28/2023,As It Was,Harry Styles,42
1/21/2023,Anti-Hero,Taylor Swift,12
1/21/2023,Kill Bill,SZA,5
1/21/2023,Unholy,Sam Smith & Kim Petras,16
1/21/2023,I'm Good (Blue),David Guetta & Bebe Rexha,20
1/21/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",6
1/21/2023,Die For You,The Weeknd,24
1/21/2023,Rich Flex,Drake & 21 Savage,10
1/21/2023,As It Was,Harry Styles,41
1/21/2023,Bad Habit,Steve Lacy,28
1/21/2023,Something In The Orange,Zach Bryan,38
1/14/2023,Anti-Hero,Taylor Swift,11
1/14/2023,Unholy,Sam Smith & Kim Petras,15
1/14/2023,Kill Bill,SZA,4
1/14/2023,I'm Good (Blue),David Guetta & Bebe Rexha,19
1/14/2023,Rich Flex,Drake & 21 Savage,9
1/14/2023,Creepin',"Metro Boomin, The Weeknd & 21 Savage",5
1/14/2023,As It Was,Harry Styles,40
1/14/2023,Die For You,The Weeknd,23
1/14/2023,Bad Habit,Steve Lacy,27
1/14/2023,Cuff It,Beyonce,21
1/7/2023,All I Want For Christmas Is You,Mariah Carey,58
1/7/2023,Rockin' Around The Christmas Tree,Brenda Lee,52
1/7/2023,Jingle Bell Rock,Bobby Helms,49
1/7/2023,Last Christmas,Wham!,31
1/7/2023,A Holly Jolly Christmas,Burl Ives,32
1/7/2023,It's The Most Wonderful Time Of The Year,Andy Williams,33
1/7/2023,Feliz Navidad,Jose Feliciano,26
1/7/2023,Anti-Hero,Taylor Swift,10
1/7/2023,The Christmas Song (Merry Christmas To You),Nat King Cole,38
1/7/2023,Unholy,Sam Smith & Kim Petras,14
12/31/2022,All I Want For Christmas Is You,Mariah Carey,57
12/31/2022,Rockin' Around The Christmas Tree,Brenda Lee,51
12/31/2022,Jingle Bell Rock,Bobby Helms,48
12/31/2022,A Holly Jolly Christmas,Burl Ives,31
12/31/2022,Last Christmas,Wham!,30
12/31/2022,It's The Most Wonderful Time Of The Year,Andy Williams,32
12/31/2022,Kill Bill,SZA,2
12/31/2022,Feliz Navidad,Jose Feliciano,25
12/31/2022,Anti-Hero,Taylor Swift,9
12/31/2022,Unholy,Sam Smith & Kim Petras,13
12/24/2022,All I Want For Christmas Is You,Mariah Carey,56
12/24/2022,Rockin' Around The Christmas Tree,Brenda Lee,50
12/24/2022,Kill Bill,SZA,1
12/24/2022,Jingle Bell Rock,Bobby Helms,47
12/24/2022,A Holly Jolly Christmas,Burl Ives,30
12/24/2022,Last Christmas,Wham!,29
12/24/2022,Anti-Hero,Taylor Swift,8
12/24/2022,It's The Most Wonderful Time Of The Year,Andy Williams,31
12/24/2022,Unholy,Sam Smith & Kim Petras,12
12/24/2022,Nobody Gets Me,SZA,1
12/17/2022,All I Want For Christmas Is You,Mariah Carey,55
12/17/2022,Rockin' Around The Christmas Tree,Brenda Lee,49
12/17/2022,Jingle Bell Rock,Bobby Helms,46
12/17/2022,A Holly Jolly Christmas,Burl Ives,29
12/17/2022,Creepin',"Metro Boomin, The Weeknd & 21 Savage",1
12/17/2022,Anti-Hero,Taylor Swift,7
12/17/2022,Unholy,Sam Smith & Kim Petras,11
12/17/2022,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",1
12/17/2022,Last Christmas,Wham!,28
12/17/2022,Rich Flex,Drake & 21 Savage,5
12/10/2022,Anti-Hero,Taylor Swift,6
12/10/2022,All I Want For Christmas Is You,Mariah Carey,54
12/10/2022,Rockin' Around The Christmas Tree,Brenda Lee,48
12/10/2022,Unholy,Sam Smith & Kim Petras,10
12/10/2022,Jingle Bell Rock,Bobby Helms,45
12/10/2022,A Holly Jolly Christmas,Burl Ives,28
12/10/2022,Rich Flex,Drake & 21 Savage,4
12/10/2022,Bad Habit,Steve Lacy,22
12/10/2022,It's The Most Wonderful Time Of The Year,Andy Williams,29
12/10/2022,Last Christmas,Wham!,27
12/3/2022,Anti-Hero,Taylor Swift,5
12/3/2022,Rich Flex,Drake & 21 Savage,3
12/3/2022,Unholy,Sam Smith & Kim Petras,9
12/3/2022,Bad Habit,Steve Lacy,21
12/3/2022,All I Want For Christmas Is You,Mariah Carey,53
12/3/2022,Rockin' Around The Christmas Tree,Brenda Lee,47
12/3/2022,I'm Good (Blue),David Guetta & Bebe Rexha,13
12/3/2022,As It Was,Harry Styles,34
12/3/2022,Jingle Bell Rock,Bobby Helms,44
12/3/2022,A Holly Jolly Christmas,Burl Ives,27
11/26/2022,Anti-Hero,Taylor Swift,4
11/26/2022,Rich Flex,Drake & 21 Savage,2
11/26/2022,Unholy,Sam Smith & Kim Petras,8
11/26/2022,Bad Habit,Steve Lacy,20
11/26/2022,As It Was,Harry Styles,33
11/26/2022,Major Distribution,Drake & 21 Savage,2
11/26/2022,I'm Good (Blue),David Guetta & Bebe Rexha,12
11/26/2022,Lift Me Up,Rihanna,3
11/26/2022,Spin Bout U,Drake & 21 Savage,2
11/26/2022,On BS,Drake & 21 Savage,2
11/19/2022,Anti-Hero,Taylor Swift,3
11/19/2022,Rich Flex,Drake & 21 Savage,1
11/19/2022,Major Distribution,Drake & 21 Savage,1
11/19/2022,On BS,Drake & 21 Savage,1
11/19/2022,Spin Bout U,Drake & 21 Savage,1
11/19/2022,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,1
11/19/2022,Privileged Rappers,Drake & 21 Savage,1
11/19/2022,Circo Loco,Drake & 21 Savage,1
11/19/2022,BackOutsideBoyz,Drake,1
11/19/2022,Unholy,Sam Smith & Kim Petras,7
11/12/2022,Anti-Hero,Taylor Swift,2
11/12/2022,Lift Me Up,Rihanna,1
11/12/2022,Unholy,Sam Smith & Kim Petras,6
11/12/2022,Bad Habit,Steve Lacy,18
11/12/2022,As It Was,Harry Styles,31
11/12/2022,Lavender Haze,Taylor Swift,2
11/12/2022,Midnight Rain,Taylor Swift,2
11/12/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,22
11/12/2022,Bejeweled,Taylor Swift,2
11/12/2022,Super Freaky Girl,Nicki Minaj,12
11/5/2022,Anti-Hero,Taylor Swift,1
11/5/2022,Lavender Haze,Taylor Swift,1
11/5/2022,Maroon,Taylor Swift,1
11/5/2022,Snow On The Beach,Taylor Swift Featuring Lana Del Rey,1
11/5/2022,Midnight Rain,Taylor Swift,1
11/5/2022,Bejeweled,Taylor Swift,1
11/5/2022,Question...?,Taylor Swift,1
11/5/2022,"You're On Your Own, Kid",Taylor Swift,1
11/5/2022,Karma,Taylor Swift,1
11/5/2022,Vigilante Shit,Taylor Swift,1
10/29/2022,Unholy,Sam Smith & Kim Petras,4
10/29/2022,Bad Habit,Steve Lacy,16
10/29/2022,As It Was,Harry Styles,29
10/29/2022,California Breeze,Lil Baby,1
10/29/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,20
10/29/2022,I Ain't Worried,OneRepublic,19
10/29/2022,You Proof,Morgan Wallen,23
10/29/2022,Forever,Lil Baby Featuring Fridayy,1
10/29/2022,Super Freaky Girl,Nicki Minaj,10
10/29/2022,Real Spill,Lil Baby,1
10/22/2022,Bad Habit,Steve Lacy,15
10/22/2022,Unholy,Sam Smith & Kim Petras,3
10/22/2022,As It Was,Harry Styles,28
10/22/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,19
10/22/2022,You Proof,Morgan Wallen,22
10/22/2022,I Ain't Worried,OneRepublic,18
10/22/2022,Sunroof,Nicky Youre & dazy,20
10/22/2022,Super Freaky Girl,Nicki Minaj,9
10/22/2022,The Kind Of Love We Make,Luke Combs,17
10/22/2022,Vegas,Doja Cat,19
10/15/2022,Bad Habit,Steve Lacy,14
10/15/2022,Unholy,Sam Smith & Kim Petras,2
10/15/2022,As It Was,Harry Styles,27
10/15/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,18
10/15/2022,Sunroof,Nicky Youre & dazy,19
10/15/2022,I Ain't Worried,OneRepublic,17
10/15/2022,You Proof,Morgan Wallen,21
10/15/2022,Super Freaky Girl,Nicki Minaj,8
10/15/2022,The Kind Of Love We Make,Luke Combs,16
10/15/2022,About Damn Time,Lizzo,25
10/8/2022,Bad Habit,Steve Lacy,13
10/8/2022,As It Was,Harry Styles,26
10/8/2022,Unholy,Sam Smith & Kim Petras,1
10/8/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,17
10/8/2022,Sunroof,Nicky Youre & dazy,18
10/8/2022,Super Freaky Girl,Nicki Minaj,7
10/8/2022,I Ain't Worried,OneRepublic,16
10/8/2022,You Proof,Morgan Wallen,20
10/8/2022,Tomorrow 2,GloRilla & Cardi B,1
10/8/2022,About Damn Time,Lizzo,24
10/1/2022,As It Was,Harry Styles,25
10/1/2022,Bad Habit,Steve Lacy,12
10/1/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,16
10/1/2022,Sunroof,Nicky Youre & dazy,17
10/1/2022,Super Freaky Girl,Nicki Minaj,6
10/1/2022,You Proof,Morgan Wallen,19
10/1/2022,I Ain't Worried,OneRepublic,15
10/1/2022,The Kind Of Love We Make,Luke Combs,14
10/1/2022,About Damn Time,Lizzo,23
10/1/2022,Wait For U,Future Featuring Drake & Tems,21
9/24/2022,As It Was,Harry Styles,24
9/24/2022,Bad Habit,Steve Lacy,11
9/24/2022,Super Freaky Girl,Nicki Minaj,5
9/24/2022,Sunroof,Nicky Youre & dazy,16
9/24/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,15
9/24/2022,You Proof,Morgan Wallen,18
9/24/2022,About Damn Time,Lizzo,22
9/24/2022,I Ain't Worried,OneRepublic,14
9/24/2022,Late Night Talking,Harry Styles,17
9/24/2022,Wait For U,Future Featuring Drake & Tems,20
9/17/2022,As It Was,Harry Styles,23
9/17/2022,Bad Habit,Steve Lacy,10
9/17/2022,Late Night Talking,Harry Styles,16
9/17/2022,Sunroof,Nicky Youre & dazy,15
9/17/2022,About Damn Time,Lizzo,21
9/17/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,14
9/17/2022,Super Freaky Girl,Nicki Minaj,4
9/17/2022,I Ain't Worried,OneRepublic,13
9/17/2022,Running Up That Hill (A Deal With God),Kate Bush,35
9/17/2022,You Proof,Morgan Wallen,17
9/10/2022,As It Was,Harry Styles,22
9/10/2022,Bad Habit,Steve Lacy,9
9/10/2022,About Damn Time,Lizzo,20
9/10/2022,Running Up That Hill (A Deal With God),Kate Bush,34
9/10/2022,Sunroof,Nicky Youre & dazy,14
9/10/2022,Hold Me Closer,Elton John & Britney Spears,1
9/10/2022,Super Freaky Girl,Nicki Minaj,3
9/10/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,13
9/10/2022,Break My Soul,Beyonce,11
9/10/2022,Wait For U,Future Featuring Drake & Tems,18
9/3/2022,As It Was,Harry Styles,21
9/3/2022,About Damn Time,Lizzo,19
9/3/2022,Bad Habit,Steve Lacy,8
9/3/2022,Running Up That Hill (A Deal With God),Kate Bush,33
9/3/2022,Break My Soul,Beyonce,10
9/3/2022,Sunroof,Nicky Youre & dazy,13
9/3/2022,Super Freaky Girl,Nicki Minaj,2
9/3/2022,Wait For U,Future Featuring Drake & Tems,17
9/3/2022,Me Porto Bonito,Bad Bunny & Chencho Corleone,16
9/3/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,12
8/27/2022,Super Freaky Girl,Nicki Minaj,1
8/27/2022,As It Was,Harry Styles,20
8/27/2022,About Damn Time,Lizzo,18
8/27/2022,Break My Soul,Beyonce,9
8/27/2022,Running Up That Hill (A Deal With God),Kate Bush,32
8/27/2022,Bad Habit,Steve Lacy,7
8/27/2022,Sunroof,Nicky Youre & dazy,12
8/27/2022,Wait For U,Future Featuring Drake & Tems,16
8/27/2022,Me Porto Bonito,Bad Bunny & Chencho Corleone,15
8/27/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,11
8/20/2022,Break My Soul,Beyonce,8
8/20/2022,As It Was,Harry Styles,19
8/20/2022,About Damn Time,Lizzo,17
8/20/2022,Running Up That Hill (A Deal With God),Kate Bush,31
8/20/2022,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,1
8/20/2022,Bad Habit,Steve Lacy,6
8/20/2022,Wait For U,Future Featuring Drake & Tems,15
8/20/2022,Sunroof,Nicky Youre & dazy,11
8/20/2022,First Class,Jack Harlow,18
8/20/2022,Bad Decisions,"benny blanco, BTS & Snoop Dogg",1
8/13/2022,Break My Soul,Beyonce,7
8/13/2022,About Damn Time,Lizzo,16
8/13/2022,As It Was,Harry Styles,18
8/13/2022,Running Up That Hill (A Deal With God),Kate Bush,30
8/13/2022,Wait For U,Future Featuring Drake & Tems,14
8/13/2022,First Class,Jack Harlow,17
8/13/2022,Bad Habit,Steve Lacy,5
8/13/2022,Me Porto Bonito,Bad Bunny & Chencho Corleone,13
8/13/2022,Sunroof,Nicky Youre & dazy,10
8/13/2022,Late Night Talking,Harry Styles,11
8/6/2022,About Damn Time,Lizzo,15
8/6/2022,As It Was,Harry Styles,17
8/6/2022,Running Up That Hill (A Deal With God),Kate Bush,29
8/6/2022,First Class,Jack Harlow,16
8/6/2022,Wait For U,Future Featuring Drake & Tems,13
8/6/2022,Break My Soul,Beyonce,6
8/6/2022,Late Night Talking,Harry Styles,10
8/6/2022,Me Porto Bonito,Bad Bunny & Chencho Corleone,12
8/6/2022,I Like You (A Happier Song),Post Malone Featuring Doja Cat,8
8/6/2022,Heat Waves,Glass Animals,80
7/30/2022,About Damn Time,Lizzo,14
7/30/2022,As It Was,Harry Styles,16
7/30/2022,Running Up That Hill (A Deal With God),Kate Bush,28
7/30/2022,First Class,Jack Harlow,15
7/30/2022,Wait For U,Future Featuring Drake & Tems,12
7/30/2022,Me Porto Bonito,Bad Bunny & Chencho Corleone,11
7/30/2022,Break My Soul,Beyonce,5
7/30/2022,Heat Waves,Glass Animals,79
7/30/2022,Late Night Talking,Harry Styles,9
7/30/2022,Jimmy Cooks,Drake Featuring 21 Savage,5
7/23/2022,As It Was,Harry Styles,15
7/23/2022,About Damn Time,Lizzo,13
7/23/2022,First Class,Jack Harlow,14
7/23/2022,Running Up That Hill (A Deal With God),Kate Bush,27
7/23/2022,Wait For U,Future Featuring Drake & Tems,11
7/23/2022,Me Porto Bonito,Bad Bunny & Chencho Corleone,10
7/23/2022,Heat Waves,Glass Animals,78
7/23/2022,Jimmy Cooks,Drake Featuring 21 Savage,4
